Date,Open,High,Low,Close,Adj Close,Volume,OBV,12_day_EMA,30_day_EMA,MACD,Change,Gain,Loss ,Avg Gain,Avg Loss,RS,RSI
2016-05-09,20.387501,20.5515,20.35,20.3955,18.873899,38404,0,,,,,,,,,,
2016-05-10,20.450001,20.549999,20.21225,20.481501,18.953482,35316,35316,,,,0.086001,0.086001,0,,,,
2016-05-11,20.4475,20.4755,20.306499,20.333,18.816065,26424,8892,,,,-0.148501,0,0.148501,,,,
2016-05-12,20.275,20.375,19.622,19.8155,18.337172,43336,-34444,,,,-0.5175,0.789024,0.5175,,,,
2016-05-13,19.825001,20.306499,19.75,20.11075,18.610397,96508,62064,,,,0.29525,0,0,,,,
2016-05-17,20.848749,21.037251,20.6075,20.683001,19.139952,252704,314768,,,,0.572251,1.247963,0,,,,
2016-05-18,20.85,21.093,20.75,21.075001,19.502708,117100,431868,,,,0.392,0,0,,,,
2016-05-19,21.125,21.200001,20.889999,20.994499,19.428215,96152,335716,,,,-0.080502,0,0.080502,,,,
2016-05-20,21.200001,21.262251,21,21.231251,19.647299,53928,389644,,,,0.236752,0,0,,,,
2016-05-23,21.275,21.699499,21.200001,21.557501,19.949211,74440,464084,,,,0.32625,0,0,,,,
2016-05-24,21.525,21.986,21.5,21.958,20.319836,49408,513492,,,,0.400499,0,0,,,,
2016-05-25,22.112499,22.331249,22.040251,22.304501,20.640482,65132,578624,20.91166708,,,0.346501,0.65905,0,,,,
2016-05-26,22.275,22.375,22.079,22.375,20.705725,30232,608856,21.07662542,,,0.070499,1.285546,0,,,,
2016-05-27,22.4725,22.525,22.21575,22.449249,20.774435,44896,653752,21.24060442,,,0.074249,0,0,,,,
2016-05-30,22.62475,22.65,22.50025,22.549999,20.867664,39056,692808,21.42535433,,,0.10075,0.423088,0,0.320762286,0.053321643,6.015611458,85.74607494
2016-05-31,22.5875,22.62475,22.299999,22.382,20.712198,33644,659164,21.63922933,,,-0.167999,0,0.167999,0.314619357,0.065321571,4.81646951,82.80744018
2016-06-01,22.4625,22.469999,22.086,22.12525,20.474604,32880,626284,21.80710433,,,-0.25675,0.105789,0.25675,0.322175714,0.073053643,4.410125241,81.51613954
2016-06-02,21.825001,21.925249,21.68375,21.8055,20.178705,81456,544828,21.90064592,,,-0.31975,0,0.31975,0.265816857,0.058928643,4.510826047,81.8539001
2016-06-03,21.950001,22.0315,21.497499,21.652,20.036659,25524,519304,21.94872917,,,-0.1535,0.105774,0.1535,0.273372143,0.069892929,3.91129902,79.63878811
2016-06-06,21.612499,21.800501,21.5,21.7805,20.155573,31428,550732,22.01422925,,,0.1285,0.414948,0,0.213871071,0.069892929,3.059981537,75.36934612
2016-06-07,21.702749,22.001751,21.702749,21.89225,20.258986,16172,566904,22.0693125,,,0.11175,1.749336,0,0.338823643,0.069892929,4.84775284,82.89941406
2016-06-08,21.727751,21.810249,21.65575,21.671749,20.054939,19916,546988,22.07883317,,,-0.220501,0,0.220501,0.338823643,0.079892857,4.240975415,80.91958232
2016-06-09,21.75,22.067499,21.612499,22.011749,20.36957,46104,593092,22.08331225,,,0.34,0,0,0.338823643,0.079892857,4.240975415,80.91958232
2016-06-10,22.075001,22.075001,21.775,21.97875,20.339037,61936,531156,22.05616633,,,-0.032999,0,0.032999,0.338823643,0.082249929,4.119439967,80.46661341
2016-06-13,21.875,21.9895,21.494749,21.58625,19.975813,42768,488388,21.99043717,,,-0.3925,0.097618,0.3925,0.345796357,0.110285643,3.135461226,75.81890035
2016-06-14,21.5,21.89625,21.5,21.629749,20.016069,30956,519344,21.9221455,,,0.043499,0,0,0.298721357,0.110285643,2.708615095,73.03575663
2016-06-15,21.725,21.86125,21.7125,21.787001,20.161585,10524,529868,21.85856233,,,0.157252,0,0,0.206896643,0.110285643,1.876007045,65.22957057
2016-06-16,21.525,21.686001,21.25,21.61425,20.001726,60436,469432,21.79458317,,,-0.172751,0.357979,0.172751,0.232466571,0.122625,1.895751853,65.46665423
2016-06-17,21.674999,21.75,21.174999,21.241751,19.657015,64620,404812,21.72095825,,,-0.372499,0.406837,0.372499,0.231305786,0.149232071,1.549973701,60.78390927
2016-06-20,21.15275,21.299999,21.123751,21.224001,19.640594,31344,373468,21.6725,21.4899001,0.1825999,-0.01775,0.846177,0.01775,0.291747,0.1385,2.106476534,67.80918868
2016-06-21,21.002501,21.387251,20.78775,21.24925,19.66396,30424,403892,21.6389375,21.51835843,0.120579067,0.025249,0.512596,0,0.320804643,0.120160714,2.669796405,72.75053192
2016-06-22,21.424999,21.447001,21.11075,21.1625,19.583679,35228,368664,21.5874375,21.5410584,0.0463791,-0.08675,0,0.08675,0.320804643,0.103517857,3.099027084,75.603967
2016-06-23,21.200001,21.225,20.897751,21.0625,19.491137,32368,336296,21.51829167,21.56537507,-0.0470834,-0.1,1.749306,0.1,0.438199786,0.099696429,4.395340859,81.46548983
2016-06-24,20.0075,21.3395,20.0075,20.98925,19.423353,181888,154408,21.46141675,21.60450007,-0.143083317,-0.07325,0,0.07325,0.408560643,0.104928571,3.89370252,79.56557441
2016-06-27,20.975,21.219,20.825001,20.82975,19.275755,41352,113056,21.36291683,21.62846673,-0.2655499,-0.1595,0,0.1595,0.283608071,0.116321429,2.438141231,70.91451651
2016-06-28,20.950001,21.049999,20.870001,21.018499,19.45042,26512,139568,21.28289592,21.63965,-0.356754083,0.188749,1.033303,0,0.357415429,0.100571357,3.553849119,78.04055484
2016-06-29,21.225,21.262501,21.129999,21.234751,19.650539,48680,188248,21.25360433,21.644975,-0.391370667,0.216252,1.456428,0,0.461446,0.100571357,4.588244736,82.10529339
