Date,Open,High,Low,Close,Adj Close,Volume,OBV,TR,+DM 1,-DM 1,TR14,0,0,0,0,DI 14 Diff,DI 14 Sum,DX,ADX,12_day_EMA,30_day_EMA,MACD,Change,Gain,Loss ,Avg Gain,Avg Loss,RS,RSI
2016-05-09,101.620003,101.800003,99.080002,100.349998,80.794678,9342100,0,,,,,,,,,,,,,,,,,,,,,,
2016-05-10,100.639999,101.290001,100.410004,101.269997,81.5354,6698100,6698100,,,,,,,,,,,,,,,,0.740722,0.740722,0,,,,
2016-05-11,101.239998,101.739998,100.150002,101.139999,81.430748,6850700,-152600,1.589996,0.449997,0,,,,,,,,,,,,,-0.104652,0,0.104652,,,,
2016-05-12,102.150002,102.419998,101.080002,102.120003,82.219772,6532400,6379800,1.339996,0.68,0,,,,,,,,,,,,,0.789024,0.789024,0,,,,
2016-05-13,101.629997,102.040001,100.360001,100.739998,81.108696,5665200,714600,1.760002,0,0.720001,,,,,,,,,,,,,-1.111076,0,1.111076,,,,
2016-05-16,101.870003,102.599998,101.400002,102.290001,82.356659,6779400,7494000,1.86,0.559997,0,,,,,,,,,,,,,1.247963,1.247963,0,,,,
2016-05-17,101.07,102.18,100.339996,100.75,81.974228,7028000,466000,1.950005,0,1.060006,,,,,,,,,,,,,-0.382431,0,0.382431,,,,
2016-05-18,100.900002,101.269997,99.440002,100.059998,81.412811,5927500,-5461500,1.829995,0,0.899994,,,,,,,,,,,,,-0.561417,0,0.561417,,,,
2016-05-19,99.260002,100.080002,98.519997,99.849998,81.241959,6241100,-11702600,1.560005,0,0.920005,,,,,,,,,,,,,-0.170852,0,0.170852,,,,
2016-05-20,100.300003,100.400002,99.489998,99.790001,81.193138,4707100,-16409700,0.910004,0.32,0,,,,,,,,,,,,,-0.048821,0,0.048821,,,,
2016-05-23,99.18,100.129997,99.07,99.379997,80.859535,4231200,-20640900,1.059997,0,0.419998,,,,,,,,,,,,,-0.333603,0,0.333603,,,,
2016-05-24,99.940002,100.760002,99.620003,100.190002,81.518585,4383300,-16257600,1.380005,0.630005,0,,,,,,,,,,100.6608327,,,0.65905,0.65905,0,,,,
2016-05-25,100.82,101.980003,100.82,101.769997,82.804131,5428200,-10829400,1.790001,1.220001,0,,,,,,,,,,100.7791659,,,1.285546,1.285546,0,,,,
2016-05-26,101.849998,102.370003,100.970001,101.5,82.58445,4147200,-14976600,1.400002,0.39,0,,,,,,,,,,100.7983328,,,-0.219681,0,0.219681,,,,
2016-05-27,101.379997,102.110001,100.870003,102.019997,83.007538,5008900,-9967700,1.239998,0,0.099998,,,,,,,,,,100.871666,,,0.423088,0.423088,0,0.367528071,0.209466643,1.754589974,63.69695637
2016-05-31,102.150002,102.279999,100.57,101,82.177635,8141800,-18109500,1.709999,0,0.300003,21.380005,4.25,4.420005,19.87838637,23.96618573,4.087799355,43.8445721,9.323387501,,100.7783324,,,-0.829903,0,0.829903,0.314619357,0.268745429,1.170696591,53.93183902
2016-06-01,100.239998,101.379997,99.889999,101.129997,82.283424,4815200,-13294300,1.489998,0,0.680001,21.280007,3.800003,5.100006,17.85715108,24.68385139,6.826700311,42.54100247,16.04734236,,100.8108323,,,0.105789,0.105789,0,0.322175714,0.261270286,1.233112726,55.21945721
2016-06-02,100.400002,100.57,99.720001,100.529999,81.795242,6714100,-20008400,1.409996,0,0.169998,21.350007,3.120003,5.270004,14.6135924,21.94887661,7.335284215,36.56246901,20.06233281,,100.6641655,,,-0.488182,0,0.488182,0.265816857,0.296140429,0.897604081,47.3019683
2016-06-03,100.650002,101.139999,100,100.660004,81.901016,4957800,-15050600,1.139999,0.569999,0,20.730004,3.690002,4.550003,17.80029565,22.46914951,4.668853859,40.26944516,11.59403573,,100.6566658,,,0.105774,0.105774,0,0.273372143,0.216777857,1.261070418,55.77315982
2016-06-06,101.339996,102.040001,100.919998,101.169998,82.315964,5948200,-9102400,1.379997,0.900002,0,20.250001,4.030007,4.550003,19.90126815,16.75467037,3.146597785,36.65593852,8.58414192,,100.7491658,,,0.414948,0.414948,0,0.213871071,0.216777857,0.986590947,49.66251098
2016-06-07,101.839996,103.699997,101.610001,103.32,84.0653,9807000,704600,2.529999,1.659996,0,20.829995,5.690003,3.489997,27.31639158,12.68987012,14.62652145,40.0062617,36.56058035,,101.0383327,,,1.749336,1.749336,0,0.338823643,0.189461357,1.788352242,64.13652533
2016-06-08,103.550003,104.080002,102.669998,103.089996,83.878159,6318100,-5613500,1.410004,0.380005,0,20.410004,6.070008,2.590003,29.74035674,11.57893407,18.16142267,41.31929081,43.95385862,,101.3133323,,,-0.187141,0,0.187141,0.338823643,0.162727357,2.082155384,67.55517243
2016-06-09,102.040001,103.129997,102.029999,102.809998,83.650322,4247500,-9861000,1.099998,0,0.639999,19.949997,6.070008,2.309997,30.42610984,14.8433503,15.58275954,45.26946014,34.42223408,,101.5991657,,,-0.227837,0,0.227837,0.338823643,0.166797714,2.03134464,67.01133923
2016-06-10,102.470001,102.970001,101.260002,101.980003,82.975021,8108400,-17969400,1.709999,0,0.769997,20.749992,5.750008,3.079994,27.71089261,12.42408453,15.28680809,40.13497714,38.08849332,,101.7483324,,,-0.675301,0,0.675301,0.338823643,0.211546286,1.601652526,61.56289166
2016-06-13,101.5,103.099998,101.379997,102.099998,83.072639,6360100,-11609300,1.720001,0.129997,0,21.409996,5.880005,2.659996,27.46383045,16.28874273,11.17508772,43.75257317,25.54155541,,101.7758325,,,0.097618,0.097618,0,0.345796357,0.1877175,1.84211039,64.81487829
2016-06-14,101.760002,102.050003,100.519997,101.279999,82.405457,6924000,-18533300,1.580001,0,0.86,21.609992,5.25,3.519996,24.29431718,17.86890517,6.425412013,42.16322236,15.23937606,,101.7574991,,,-0.667182,0,0.667182,0.298721357,0.235373357,1.269138363,55.93040881
2016-06-15,100.629997,101.639999,100.25,100.629997,81.876602,5627000,-24160300,1.389999,0,0.269997,21.20999,4.029999,3.789993,19.00047572,23.63227648,4.631800757,42.6327522,10.86441883,,101.6416658,,,-0.528855,0,0.528855,0.206896643,0.273148714,0.757450546,43.09939463
2016-06-16,99.970001,101.260002,98.769997,101.07,82.234581,8043000,-16117300,2.490005,0,1.480003,22.299993,3.639999,5.269996,16.32287059,23.08035749,6.757486893,39.40322808,17.14957688,,101.6474991,,,0.357979,0.357979,0,0.232466571,0.257457214,0.902932831,47.44953771
2016-06-17,101.440002,101.739998,100.400002,101.57,82.641418,8762200,-7355100,1.339996,0.479996,0,22.399991,4.119995,5.169998,18.39284221,21.62520558,3.232363373,40.0180478,8.077264011,21.10775699,101.684166,,,0.406837,0.406837,0,0.231305786,0.257457214,0.898424176,47.3247332
2016-06-20,102.879997,103.400002,102.599998,102.610001,83.487595,6627000,-728100,1.830002,1.660004,0,22.519994,5.779999,4.869995,25.666077,20.35117431,5.314902689,46.01725131,11.54980478,21.2667868,101.8574995,101.2723325,0.585166967,0.846177,0.846177,0,0.291747,0.198178429,1.472143069,59.54926668
2016-06-21,102.690002,103.449997,102.269997,103.239998,84.000191,4938700,4210600,1.18,0,0.330001,22.209996,5.779999,4.519995,26.02431356,19.62994948,6.394364082,45.65426303,14.00606133,21.12098101,102.072499,101.3686659,0.703833133,0.512596,0.512596,0,0.320804643,0.198178429,1.61876671,61.81408615
2016-06-22,103.5,103.550003,102.190002,102.290001,83.227249,4866400,-655800,1.360001,0.100006,0,22.160001,5.880005,4.349997,26.53431739,18.76616642,7.768150978,45.30048381,17.14805301,20.91281817,102.1658326,101.402666,0.763166583,-0.772942,0,0.772942,0.320804643,0.218518429,1.468089648,59.48283318
2016-06-23,103.449997,104.449997,103.07,104.440002,84.976555,5593600,4937800,2.159996,0.899994,0,23.179998,6.21,4.349997,26.79033881,24.93018649,1.860152317,51.7205253,3.596545677,20.34156888,102.2591661,101.5126661,0.746499983,1.749306,1.749306,0,0.438199786,0.218518429,2.005321879,66.72569394
2016-06-24,101.459999,103.010002,101.169998,101.900002,82.909904,11481400,-6543600,3.270004,0,1.900002,25.070005,5.309998,6.249999,21.18068185,31.70143063,10.52074877,52.88211248,19.89472107,21.14946739,102.1599999,101.5053327,0.654667183,-2.066651,0,2.066651,0.408560643,0.366136357,1.11587018,52.73812121
2016-06-27,101.25,101.400002,99.519997,100.360001,81.656921,8248700,-14792300,2.380005,0,1.650001,24.920011,3.650002,7.9,14.64687154,31.41152332,16.76465178,46.05839487,36.39868872,21.1379037,101.9558335,101.4926662,0.463167333,-1.252983,0,1.252983,0.283608071,0.455635143,0.62244556,38.36464995
2016-06-28,101.220001,102,100.639999,101.629997,82.690224,7171100,-7621200,1.639999,0.599998,0,25.150006,3.869995,7.9,15.3876504,26.78966071,11.40201031,42.17731112,27.03351638,19.92930783,101.9266663,101.470666,0.4560003,1.033303,1.033303,0,0.357415429,0.442267929,0.808142317,44.69461886
2016-06-29,102.519997,104.68,102.300003,103.419998,84.146652,8887500,1266300,3.050003,2.68,0,27.100011,6.549995,7.260001,24.16971344,23.93950899,0.230204444,48.10922243,0.478503772,17.50475566,102.0366663,101.559666,0.477000367,1.456428,1.456428,0,0.461446,0.425993857,1.083222193,51.99743918
2016-06-30,103.559998,105,103.279999,104.830002,85.293877,7649700,8916000,1.720001,0.32,0,27.110013,6.869995,6.490004,25.34117191,24.4998171,0.841354812,49.84098901,1.688078084,14.904726,102.3324999,101.7186661,0.613833817,1.147225,1.147225,0,0.543390643,0.377758071,1.438462032,58.99054457
2016-07-01,104.779999,104.879997,103.779999,104.150002,84.740601,6117800,2798200,1.099998,0,0,26.49001,6.739998,6.490004,25.44354645,25.0286217,0.414924759,50.47216815,0.822086259,13.13904963,102.6258337,101.8619996,0.7638341,-0.553276,0,0.553276,0.536417929,0.417277786,1.285517578,56.24623457
2016-07-05,103.5,103.870003,102.849998,103.57,84.2687,7766600,-4968400,1.300004,0,0.930001,26.210013,6.739998,6.560005,25.71535543,23.33087896,2.384476468,49.04623438,4.861691214,12.39778643,102.834167,101.9879995,0.846167467,-0.471901,0,0.471901,0.536417929,0.403329143,1.329975624,57.08109606
2016-07-06,103.260002,104.599998,102.459999,104.580002,85.090469,6166900,1198500,2.139999,0.729995,0,26.960013,7.469993,6.290008,27.70767581,17.59971978,10.10795603,45.30739559,22.30972647,13.2153084,103.0850005,102.161333,0.923667467,0.821769,0.821769,0,0.595115714,0.365553786,1.627984,61.94801795
2016-07-07,104.889999,105,102.139999,103.050003,83.845612,7707400,-6508900,2.860001,0.400002,0,27.330009,7.869995,4.810005,28.79616688,17.20315662,11.59301026,45.9993235,25.20256685,13.79052197,103.1216673,102.2566664,0.865000933,-1.244857,0,1.244857,0.569545786,0.454472143,1.253202852,55.61873184
2016-07-08,103.879997,104.970001,103,104.769997,85.245056,9043600,2534700,1.970001,0,0,27.960014,7.389999,4.810005,26.43059835,17.58041799,8.850180361,44.01101635,20.10901155,14.64993251,103.2491673,102.3566664,0.89250085,1.399444,1.399444,0,0.640446286,0.454472143,1.409209114,58.49260265
2016-07-11,104.809998,106,104.800003,105.389999,85.749527,7206100,9740800,1.230003,1.029999,0,27.360015,6.759994,4.810005,24.70756686,15.94873966,8.758827206,40.65630652,21.54358808,15.36377418,103.5075004,102.486333,1.021167383,0.504471,0.504471,0,0.616038714,0.454472143,1.355503795,57.54623694
